1657806535.038634 client started (72235): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1657806535.038683 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1657806535.038705 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1657806535.041487 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041493 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041499 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041505 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041511 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041517 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.041523 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041528 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041534 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041540 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041546 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041552 sending message 112 to peer 0x7fdb30008000 (11 bytes)
1657806535.041558 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041563 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041569 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041575 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041581 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041587 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041593 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041599 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041605 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.041610 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041616 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041622 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041628 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041634 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041640 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041646 sending message 112 to peer 0x7fdb30008000 (9 bytes)
1657806535.041663 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041669 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041675 sending message 112 to peer 0x7fdb30008000 (13 bytes)
